Cubies N,Colors number,Color 1,Pos Color 1 x,Pos Color 1 y,Identifier,Color 2,Pos Color 2 x,Pos Color 2 y,Identifier,Color 3,Pos Color 3 x,Pos Color 3 y,Identifier
1,3,yellow,2,0,0101,blue,1,2,0102,orange,0,8,0103
2,2,yellow,0,1,0201,orange,3,1,0202,None,-1,-1,None
3,3,yellow,5,8,0301,green,3,6,0302,orange,2,8,0303
4,2,yellow,1,5,0401,blue,2,3,0402,None,-1,-1,None
5,1,yellow,0,4,0501,None,-1,-1,None,None,-1,-1,None
6,2,yellow,4,1,0601,green,0,3,0602,None,-1,-1,None
7,3,yellow,5,0,0701,blue,1,6,0702,red,4,8,0703
8,2,yellow,1,7,0801,red,5,1,0802,None,-1,-1,None
9,3,yellow,0,0,0901,red,3,2,0902,green,4,0,0903
10,2,blue,0,5,1001,orange,2,1,1002,None,-1,-1,None
11,1,blue,4,4,1101,None,-1,-1,None,None,-1,-1,None
12,2,blue,4,5,1201,red,1,3,1202,None,-1,-1,None
13,3,blue,5,2,1301,orange,2,6,1302,white,1,8,1303
14,2,blue,4,3,1401,white,3,5,1402,None,-1,-1,None
15,3,blue,0,2,1501,red,3,0,1502,white,2,2,1503
16,1,red,1,4,1601,None,-1,-1,None,None,-1,-1,None
17,2,red,2,5,1701,green,3,3,1702,None,-1,-1,None
18,2,red,0,7,1801,white,1,1,1802,None,-1,-1,None
19,3,red,4,6,1901,green,5,6,1902,white,3,8,1903
20,1,green,2,4,2001,None,-1,-1,None,None,-1,-1,None
21,2,green,5,5,2101,orange,2,7,2102,None,-1,-1,None
22,2,green,5,3,2201,white,4,7,2202,None,-1,-1,None
23,3,green,4,2,2301,orange,0,6,2302,red,1,0,2303
24,1,orange,3,4,2401,None,-1,-1,None,None,-1,-1,None
25,2,orange,5,7,2501,white,3,7,2502,None,-1,-1,None
26,1,white,5,4,2601,None,-1,-1,None,None,-1,-1,None
,,,,,,,,,,,,,
